date_of_spill_edit,operator_edit,lease_facility_name,county_edit,type_operation,source,probable_cause_edit,release_crude_oil_edit,release_prod_water_edit,recovery_crude_oil_edit,recovery_prod_water_edit,spill_on_water_edit
2013-05-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Lottie ""H""",Martin,injection/disposal,flowline,HUMAN ERROR,0,5124,0,4872,NO
2013-05-10,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sale Ranch,Martin,production,tank battery,WEATHER,126,15960,105,10500,NO
2013-05-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Midland,production,flowline,CORROSION,1050,504,0,0,NO
2013-05-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Sale Ranch ""P""",Martin,production,tank battery,CORROSION,168,420,147,252,NO
2013-05-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,tank battery,WEATHER,630,840,504,756,NO
2013-05-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,tank battery,WEATHER,756,840,630,756,NO
2013-06-04,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Flanagan ""14""",Glasscock,production,tank battery,WEATHER,126,1470,42,1260,NO
2013-06-07,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Snowden, John",Midland,injection/disposal,tank battery,WEATHER,0,3360,0,3150,NO
2013-06-10,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Stone ""39""",Martin,production,tank battery,MECHANICAL FAILURE,840,840,840,630,NO
2013-06-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Batjer ""56""",Martin,production,flowline,CORROSION,294,1680,126,1050,NO
2013-06-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),University '7-35',Andrews,production,tank battery,MECHANICAL FAILURE,126,168,126,168,NO
2013-06-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),University 10-3,Reagan,production,tank battery,MECHANICAL FAILURE,210,210,0,0,NO
2013-06-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),Hurt,Glasscock,production,well,CORROSION,7350,1890,6720,1680,NO
2013-06-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,tank battery,MECHANICAL FAILURE,336,5250,168,2100,NO
2013-06-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Batjer ""56""",Martin,production,flowline,MECHANICAL FAILURE,420,2100,84,840,NO
2013-07-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),Hazelwood -C-,Martin,production,tank battery,MECHANICAL FAILURE,588,210,462,84,NO
2013-07-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Lobley, G.D.",Midland,injection/disposal,flowline,MECHANICAL FAILURE,0,10080,0,9660,NO
2013-07-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Eiland ""A""",Martin,injection/disposal,flowline,CORROSION,42,42,0,0,NO
2013-07-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Texaco ""E""",Midland,injection/disposal,flowline,CORROSION,0,16800,0,0,NO
2013-07-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),Mays,Martin,injection/disposal,tank battery,MECHANICAL FAILURE,630,210,630,168,NO
2013-07-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Houston, H.A. ""A""",Glasscock,injection/disposal,flowline,CORROSION,0,7560,0,7140,NO
2013-07-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sally -B-,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,252,4200,210,3360,NO
2013-07-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Texas Ten ""ZZ""",Midland,production,tank battery,MECHANICAL FAILURE,336,420,168,84,NO
2013-07-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Mabee -J-,Martin,injection/disposal,flowline,third party,0,8820,0,7980,NO
2013-08-01,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,injection/disposal,pump,MECHANICAL FAILURE,,6090,0,5880,NO
2013-08-06,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,injection/disposal,tank battery,WEATHER,420,1050,0,0,NO
2013-08-06,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Reagan,injection/disposal,tank battery,WEATHER,0,3360,0,2310,NO
2013-08-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Brunson ""33""",Glasscock,production,tank battery,WEATHER,210,2520,84,1680,NO
2013-08-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sherrod Unit,Reagan,production,tank battery,MECHANICAL FAILURE,798,1050,630,630,NO
2013-08-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Texas Ten ""AA""",Midland,production,well,HUMAN ERROR,420,4200,126,1260,NO
2013-08-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Jones ""83""",Martin,production,tank battery,WEATHER,42,42,0,0,NO
2013-09-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Marek, Adolph Gas Unit",Lavaca,Production,load line,valve broke off,2604,7644,,,NO
2013-09-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),Blackwell Gas Unit,DeWitt,Production,Tank Battery,CORROSION,0,2100,0,0,NO
2013-09-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Kaylina ""15""",Glasscock,production,tank battery,MECHANICAL FAILURE,2100,420,2100,420,NO
2013-09-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC GIDDINGS ESTATE,Upton,production,tank battery,HUMAN ERROR,16800,42000,15540,,NO
2013-10-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Mabee K,Martin,production,well,MECHANICAL FAILURE,42,210,0,0,NO
2013-10-04,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,injection/disposal,flowline,MECHANICAL FAILURE,0,14700,0,8400,NO
2013-10-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),University 10-1,Reagan,drilling,other,unknown,420,840,336,,NO
2013-10-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,injection/disposal,pump,CORROSION,0,5040,0,4830,NO
2013-10-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Houston Woody ""3""",Glasscock,production,tank battery,WEATHER,210,1680,0,0,NO
2013-10-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),Texas Ten 'ZZ',Midland,production,tank battery,HUMAN ERROR,672,25200,672,504,NO
2013-10-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Sugg, C.H. -B-",Reagan,production,well,CORROSION,,2940,,2940,NO
2013-10-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),E.T. O'Daniel,Midland,production,well,HUMAN ERROR,84,840,0,0,NO
2013-11-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Curtis ""K""",Martin,production,tank battery,MECHANICAL FAILURE,1260,1680,756,1218,NO
2013-11-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),Bauer,Martin,production,flowline,MECHANICAL FAILURE,21,21,0,0,NO
2013-12-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Curtis ""S""",Martin,production,tank battery,CORROSION,840,420,504,336,NO
2013-12-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L.'C'",Midland,injection/disposal,flowline,WEATHER,0,56700,0,55860,NO
2013-12-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,tank battery,CORROSION,2142,420,2100,,NO
2013-12-20,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,tank battery,HUMAN ERROR,2940,5040,2730,4830,NO
2013-12-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Orson ""4""",Martin,production,tank battery,MECHANICAL FAILURE,630,630,630,630,NO
2013-12-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""2-20"" H Tank Battery",Reagan,production,tank battery,MECHANICAL FAILURE,420,1050,420,840,NO
2014-01-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Curtis ""X""",Martin,production,tank battery,MECHANICAL FAILURE,2520,3360,840,1260,NO
2014-01-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),E.T. O'Daniel,Midland,injection/disposal,flowline,MECHANICAL FAILURE,0,210,0,210,NO
2014-01-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,production,tank battery,MECHANICAL FAILURE,168,11760,126,11592,NO
2014-01-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Blackmon A Unit,Montague,production,tank battery,unknown,2100,23100,,,NO
2014-01-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Rocker ""B""",Irion,drilling,other,HUMAN ERROR,,4200,,3360,NO
2014-01-29,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,flowline,WEATHER,210,420,42,42,NO
2014-01-29,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,flowline,WEATHER,210,210,42,42,NO
2014-02-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Ragland ""2""",Martin,production,tank battery,CORROSION,420,1890,0,0,NO
2014-02-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Fischer ""10""",Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,7140,0,7098,NO
2014-03-31,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,tank battery,MECHANICAL FAILURE,168,3360,126,2940,NO
2014-04-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Lottie,Martin,injection/disposal,flowline,HUMAN ERROR,0,16800,0,16380,NO
2014-04-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,production,tank battery,HUMAN ERROR,1050,2520,840,2310,NO
2014-04-07,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,flowline,MECHANICAL FAILURE,2142,3570,63,0,NO
2014-04-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Scharbauer Ranch,Martin,production,tank battery,MECHANICAL FAILURE,840,504,630,504,NO
2014-04-23,Pioneer Natural Resources (acq. by ExxonMobil 2023),?,Midland,injection/disposal,flowline,third party,,210,0,168,NO
2014-05-01,Pioneer Natural Resources (acq. by ExxonMobil 2023),Facility,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,798,0,0,NO
2014-05-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),Mabee -X-,Martin,injection/disposal,flowline,HUMAN ERROR,0,9744,0,8820,NO
2014-05-05,Pioneer Natural Resources (acq. by ExxonMobil 2023),Scharbauer,Martin,injection/disposal,tank battery,third party,0,11340,0,10500,NO
2014-05-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,tank battery,MECHANICAL FAILURE,672,1260,210,0,NO
2014-05-19,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,production,tank battery,MECHANICAL FAILURE,5586,8820,5460,8400,NO
2014-05-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Bradford ""C""",Midland,injection/disposal,flowline,HUMAN ERROR,0,6720,0,6720,NO
2014-05-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),Texas Ten,Midland,production,tank battery,WEATHER,0,2940,0,2520,NO
2014-05-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),WOODFIN,Upton,production,tank battery,WEATHER,,5040,,,NO
2014-05-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),North Pembrook Spraberry Unit,Reagan,production,tank battery,WEATHER,336,126,0,0,NO
2014-05-29,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Cowden ""E""",Midland,production,tank battery,CORROSION,42,420,0,210,NO
2014-06-10,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Woody, Inez ""C""",Martin,production,tank battery,MECHANICAL FAILURE,126,630,0,0,NO
2014-06-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""7-39""",Martin,production,tank battery,WEATHER,420,16800,0,0,NO
2014-06-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""2-20""",Reagan,production,flowline,MECHANICAL FAILURE,336,33600,,,NO
2014-06-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Est,Upton,production,tank battery,WEATHER,3360,25200,0,0,NO
2014-06-17,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""6-39""",Andrews,injection/disposal,tank battery,WEATHER,0,12600,0,0,NO
2014-06-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Est,Upton,drilling,well,,,8400,,4200,no
2014-06-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sally -B-,Midland,injection/disposal,flowline,CORROSION,0,8400,0,840,NO
2014-07-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Scharbauer Ranch,Martin,production,tank battery,MECHANICAL FAILURE,840,630,714,546,NO
2014-07-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,well,MECHANICAL FAILURE,,5460,,5460,
2014-07-17,Pioneer Natural Resources (acq. by ExxonMobil 2023),Middleton,Martin,injection/disposal,flowline,third party,0,1260,0,0,NO
2014-07-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L. 'C'",Midland,injection/disposal,flowline,CORROSION,0,8400,0,7560,NO
2014-07-29,Pioneer Natural Resources (acq. by ExxonMobil 2023),Collins -A-,Midland,production,flowline,CORROSION,420,1050,420,1050,NO
2014-08-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Midland,production,tank battery,MECHANICAL FAILURE,1050,420,840,210,NO
2014-08-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),Rogers,Martin,production,tank battery,MECHANICAL FAILURE,672,1008,420,840,NO
2014-08-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""1-21""",Reagan,production,tank battery,MECHANICAL FAILURE,210,420,,,NO
2014-08-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),Vaughn,Midland,injection/disposal,flowline,third party,0,5250,0,5040,NO
2014-09-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Buchanan ""R""",Midland,production,tank battery,HUMAN ERROR,10920,4200,10500,3780,NO
2014-09-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Cook ""21""",Martin,injection/disposal,tank battery,WEATHER,0,25200,0,0,NO
2014-10-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Hatchett,Martin,production,tank battery,CORROSION,294,840,168,546,NO
2014-10-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),Rocker B,Irion,production,flowline,MECHANICAL FAILURE,0,1050,0,,NO
2014-10-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),"ODaniel, E.T.",Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,82320,0,80640,NO
2014-11-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Mabee -B-,Martin,production,tank battery,MECHANICAL FAILURE,294,1008,273,756,NO
2014-11-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),LANE 11,Upton,production,tank battery,CORROSION,1260,630,840,420,NO
2014-11-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,tank battery,MECHANICAL FAILURE,462,42,420,0,NO
2014-11-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),Rocker B 1,Irion,production,tank battery,MECHANICAL FAILURE,168,168,84,84,NO
2014-12-06,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Miles ""B""",Midland,production,tank battery,MECHANICAL FAILURE,210,420,147,336,NO
2014-12-07,Pioneer Natural Resources (acq. by ExxonMobil 2023),University 3-19,Reagan,production,well,MECHANICAL FAILURE,840,420,630,,NO
2014-12-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Upton,production,flowline,third party,42,126,0,0,NO
2014-12-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),Milliken-B-,Midland,production,tank battery,THEFT / VANDALISM,630,546,630,0,NO
2014-12-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC GIDDINGS ESTATE,Upton,production,tank battery,MECHANICAL FAILURE,2730,2142,1260,84,NO
2015-01-04,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,production,tank battery,CORROSION,840,840,420,504,NO
2015-01-06,Pioneer Natural Resources (acq. by ExxonMobil 2023),Preston Spraberry Unit,Midland,production,flowline,CORROSION,252,504,0,0,NO
2015-01-19,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Bradford ""C""",Midland,injection/disposal,tank battery,CORROSION,0,5040,0,0,NO
2015-01-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Rogers ""42""",Martin,production,tank battery,MECHANICAL FAILURE,210,6090,210,5880,NO
2015-01-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),Crawford '26',Midland,production,flowline,HUMAN ERROR,0,11550,0,11550,NO
2015-02-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),Beth -A-,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,6300,0,5712,NO
2015-02-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sale Ranch -L-,Martin,injection/disposal,tank battery,MECHANICAL FAILURE,0,13440,0,12600,NO
2015-03-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Parks ""5""",Midland,injection/disposal,tank battery,CORROSION,0,3780,0,3360,NO
2015-03-11,Pioneer Natural Resources (acq. by ExxonMobil 2023),Richards '44A',Martin,production,tank battery,MECHANICAL FAILURE,1470,420,1470,210,NO
2015-03-30,Pioneer Natural Resources (acq. by ExxonMobil 2023),Three Sisters 01,Live Oak,Production,Flowline,,,42,,0,
2015-03-30,Pioneer Natural Resources (acq. by ExxonMobil 2023),Cheatham,Martin,production,tank battery,CORROSION,1260,210,1050,210,NO
2015-04-10,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Reagan,production,tank battery,MECHANICAL FAILURE,252,504,210,420,NO
2015-04-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Midland,production,flowline,CORROSION,378,1050,336,924,NO
2015-04-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),University '6-49',Andrews,production,tank battery,MECHANICAL FAILURE,840,630,756,420,NO
2015-05-19,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Cook, E ""A""",Glasscock,production,tank battery,WEATHER,840,21000,504,19320,NO
2015-05-19,Pioneer Natural Resources (acq. by ExxonMobil 2023),Preston Spraberry Unit,Midland,injection/disposal,tank battery,WEATHER,0,12.6,0,0,NO
2015-05-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Upton,production,tank battery,HUMAN ERROR,2730,50820,2520,50400,NO
2015-05-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,9450,0,9240,NO
2015-05-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Wooley ""7""",Upton,production,tank battery,WEATHER,294,1050,210,840,NO
2015-05-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),Giddings Estate Fee 'A',Upton,production,tank battery,MECHANICAL FAILURE,210,126,0,0,NO
2015-05-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,injection/disposal,pump,MECHANICAL FAILURE,0,29190,0,28434,NO
2015-05-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,flowline,third party,378,756,210,630,NO
2015-05-28,Pioneer Natural Resources (acq. by ExxonMobil 2023),Shackelford Spraberry Unit,Midland,injection/disposal,tank battery,WEATHER,0,2100,0,630,NO
2015-05-29,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,flowline,WEATHER,184.8,205.8,0,0,NO
2015-05-30,Pioneer Natural Resources (acq. by ExxonMobil 2023),Scharbauer Ranch,Martin,production,tank battery,MECHANICAL FAILURE,168,16800,0,0,NO
2015-06-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,,,,,1680,,1260,
2015-06-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),XBC Giddings Estate,Upton,production,tank battery,CORROSION,,1680,,,NO
2015-06-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),Guy -A-,Martin,production,tank battery,CORROSION,84,5040,0,4956,NO
2015-06-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),Cain -A-,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,8820,0,8400,NO
2015-06-12,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Ragland ""2""",Martin,production,flowline,CORROSION,630,840,420,630,NO
2015-06-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),Merchant Unit,Reagan,production,tank battery,THEFT / VANDALISM,840,840,756,42,NO
2015-06-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L. 'C'",Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,9660,0,9660,NO
2015-07-05,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Bailey ""A""",Glasscock,production,tank battery,WEATHER,42,840,0,0,NO
2015-07-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Merchant Unit,Reagan,production,tank battery,HUMAN ERROR,1680,210,1470,210,NO
2015-07-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Vaughan-Lenn ""36""",Ector,production,tank battery,MECHANICAL FAILURE,126,504,84,336,NO
2015-07-30,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Rogers ""35""",Upton,production,tank battery,MECHANICAL FAILURE,546,1596,0,0,NO
2015-08-16,Pioneer Natural Resources (acq. by ExxonMobil 2023),Scharbauer -C-,Martin,production,flowline,HUMAN ERROR,21,84,0,0,NO
2015-08-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""10-19""",Reagan,injection/disposal,other,HUMAN ERROR,1176,840,,,NO
2015-08-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,production,flowline,CORROSION,420,420,294,210,NO
2015-08-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""3-19""",Upton,production,tank battery,,2100,6300,2058,6258,NO
2015-09-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""3-1""",Upton,injection/disposal,well,MECHANICAL FAILURE,,5460,,4620,NO
2015-10-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L. Fee",Midland,production,tank battery,WEATHER,0,21000,0,0,NO
2015-10-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L. Fee",Midland,production,tank battery,HUMAN ERROR,0,21000,0,3444,YES
2015-10-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,production,tank battery,WEATHER,0,42,0,0,NO
2015-10-23,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Snowden, John",Midland,production,flowline,WEATHER,5880,63000,0,0,NO
2015-10-30,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sherrod Unit,Upton,production,flowline,CORROSION,336,210,273,168,NO
2015-11-03,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Slaughter, Elma L., -J-",Martin,production,flowline,MECHANICAL FAILURE,420,16800,252,10920,NO
2015-11-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),Three Sisters 01,Live Oak,Production,Tank,Overflow,0,42,0,0,
2015-11-17,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Midland,injection/disposal,flowline,CORROSION,0,2100,0,1890,NO
2015-11-20,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Fleming, Dean R.",Martin,production,tank battery,WEATHER,252,42,0,0,NO
2015-11-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University ""3-1""",Upton,production,well,third party,,36750,,35280,
2015-12-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Reagan,production,tank battery,MECHANICAL FAILURE,546,630,0,0,NO
2015-12-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,injection/disposal,flowline,CORROSION,0,9660,0,9240,NO
2016-01-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),Bridgewater -B-,Midland,injection/disposal,flowline,third party,0,12096,0,2520,NO
2016-01-17,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Yates ""82""",Martin,production,flowline,CORROSION,420,630,378,546,NO
2016-01-20,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pembrook Unit,Upton,production,flowline,other,84,168,0,0,no
2016-01-22,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Guy ""M""",Martin,production,tank battery,MECHANICAL FAILURE,252,4914,210,4830,NO
2016-01-27,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Upton,production,flowline,third party,42,2100,0,630,NO
2016-02-25,Pioneer Natural Resources (acq. by ExxonMobil 2023),McClintic -G-,Midland,production,flowline,third party,630,630,0,0,NO
2016-02-26,Pioneer Natural Resources (acq. by ExxonMobil 2023),Pribyla,Martin,injection/disposal,flowline,MECHANICAL FAILURE,0,5880,0,5670,NO
2016-03-08,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sale Ranch 25C,Martin,production,tank battery,CORROSION,2.1,0.84,0,0,NO
2016-03-14,Pioneer Natural Resources (acq. by ExxonMobil 2023),"O'Daniel, E.T.",Midland,production,well,MECHANICAL FAILURE,420,2520,336,2310,NO
2016-03-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),WYE RANCH 03,Atascosa,PRODUCTION,LACT UNIT,MECHANICAL FAILURE,277.2,42,0,0,
2016-03-18,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Sale Ranch ""Q""",Martin,other,pit,MECHANICAL FAILURE,0,210,0,0,NO
2016-03-24,Pioneer Natural Resources (acq. by ExxonMobil 2023),Sweatt,Martin,injection/disposal,tank battery,MECHANICAL FAILURE,0,13650,0,13020,NO
2016-04-02,Pioneer Natural Resources (acq. by ExxonMobil 2023),Kendrick,Midland,production,tank battery,MECHANICAL FAILURE,2205,2205,2142,2142,NO
2016-04-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Turner, Mary E. -D-",Midland,injection/disposal,tank battery,WEATHER,0,24150,0,23940,NO
2016-04-09,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Slaughter ""17""",Martin,injection/disposal,tank battery,WEATHER,0,3990,0,3948,NO
2016-04-13,Pioneer Natural Resources (acq. by ExxonMobil 2023),Spraberry Driver Unit,Glasscock,production,tank battery,CORROSION,462,1470,420,504,NO
2016-04-15,Pioneer Natural Resources (acq. by ExxonMobil 2023),Midkiff Unit,Midland,injection/disposal,flowline,HUMAN ERROR,0,6090,0,5460,NO
2016-04-17,Pioneer Natural Resources (acq. by ExxonMobil 2023),"University""7-22""",Andrews,injection/disposal,tank battery,MECHANICAL FAILURE,0,28980,0,28980,NO
2016-04-21,Pioneer Natural Resources (acq. by ExxonMobil 2023),Stimson Burley -D-,Martin,injection/disposal,well,MECHANICAL FAILURE,0,588,0,0,NO
2016-05-01,Pioneer Natural Resources (acq. by ExxonMobil 2023),"Hutt, Donald L. 'C'",Midland,injection/disposal,pump,MECHANICAL FAILURE,0,22050,0,21000,NO
